row_id,clue_id,surface,definition,answer,definition_wn,answer_wn,split
0,1,"Acquisitive chap, as we see it",Acquisitive,COVETOUS,acquisitive,covetous,test
32,37,Trap surrounded by enchantment is irresistible,irresistible,MAGNETIC,irresistible,magnetic,validate
92,100,Argument inspector advanced in Home Counties,Argument,DISPUTE,argument,dispute,train
110,118,Madcap display with tops off carelessly,carelessly,ANYHOW,carelessly,anyhow,train
168,190,Pictures came in for restoration,Pictures,CINEMA,pictures,cinema,validate
170,192,Present of francs given to monarch,Present,OFFER,present,offer,train
202,224,Round and large character,character,OMEGA,character,omega,validate
209,232,Agreed East End's in need of renovation,Agreed,ASSENTED,agreed,assented,validate
213,236,Move around behind large stove,Move around,REARRANGE,move_around,rearrange,validate
228,252,"European, extremely old, stopping to become less hard occasionally",occasionally,EVERY SO OFTEN,occasionally,every_so_often,test
255,275,Remove obstruction in river,Remove,DELETE,remove,delete,train
267,288,ID card's not in order? That's harsh,harsh,DISCORDANT,harsh,discordant,test
270,292,"Fairy, cast off, died",died,PERISHED,died,perished,test
353,377,Watchword of guy painting in retirement,Watchword,MANTRA,watchword,mantra,test
374,400,"Worn out, quiet cat dropping head",Worn out,SHABBY,worn_out,shabby,test
409,434,Sibling ignoring the second disturbance,disturbance,BOTHER,disturbance,bother,test
417,441,Initiation that's suitable is in British Museum,Initiation,BAPTISM,initiation,baptism,test
437,460,A missing Citroen car crashed? Wrong,Wrong,INCORRECT,wrong,incorrect,test
446,468,New farmer oddly quiet,New,FRESH,new,fresh,test
459,481,Corpse is gory: look out,Corpse,BODY,corpse,body,test
523,563,Completely or nearly closed account,Completely,TOTALLY,completely,totally,test
526,566,One sacked after university abandons resistance,One,UNIFIED,one,unified,train
566,622,Capricious fellow concealing deserter,Capricious,ERRATIC,capricious,erratic,test
567,623,Hand-out covering upper-class bachelor’s drink,drink,DOUBLE,drink,double,validate
570,626,"Part in this way, missing ex at first",Part,SOME,part,some,test
577,634,Pull vehicle back in a series of races,Pull,ATTRACT,pull,attract,test
581,638,Back an attempt,Back,AGO,back,ago,test
585,642,Agreeable article for men in tribute,Agreeable,COMPLIANT,agreeable,compliant,test
592,648,"Female, commonly odious and critical",critical,FATEFUL,critical,fateful,test
593,649,Ridiculous in a suit in the country,the country,TUNISIA,country,tunisia,test
596,652,Trim short leggings,Trim,TIGHT,trim,tight,test
610,664,Construction of poem featuring in Eliot’s first gamble,Construction,EDIFICE,construction,edifice,validate
