clue_id,definition,split,phrase
1,Acquisitive,test,"<t>Acquisitive</t> chap, as we see it"
2,sagging,validate,Back yard fencing weak and <t>sagging</t>
3,Stripping,train,"<t>Stripping</t> off uniform, love holding colonel's coat"
8,another,test,"At first, bear one fruit or <t>another</t>"
9,Cited,test,<t>Cited</t> tot defending authoritarian leader
11,A little,validate,<t>A little</t> house might ... be this?
13,roguishly,train,Highest-ranking lady has heart stolen <t>roguishly</t>
14,a column,train,Grant a leader in the papers <t>a column</t>
18,trouble,test,Errant knight in huge <t>trouble</t>
20,Stuff,train,"<t>Stuff</t>’s possibly tax-free, before cuts"
23,record-holder,train,This vicar could be the <t>record-holder</t>
30,Protective cover,train,<t>Protective cover</t> Queen got from prime minister
33,Vouchsafed,test,<t>Vouchsafed</t> information about Roman square
35,worrying,validate,Concerned with component of blood containing iodine — that’s <t>worrying</t>
36,Country,test,<t>Country</t> parrot seen round city
37,irresistible,validate,Trap surrounded by enchantment is <t>irresistible</t>
42,Sound,train,<t>Sound</t> beginning when hummingbird is rapidly returning
45,revocation,test,European power limited by genuine <t>revocation</t>
47,Refuse,validate,<t>Refuse</t> a black mark
54,Company,validate,<t>Company</t> went without leader as old as you and I
58,admission,test,Rule first cells must be set up for <t>admission</t>
59,Record,train,<t>Record</t> single up around number four in chart
61,representation,test,It may get endless <t>representation</t>
62,Message,test,<t>Message</t>’s tenor we may hear described
63,Think,test,<t>Think</t> shop needs rebuke
68,Burden,train,<t>Burden</t> of work papers
72,Maxim,train,<t>Maxim</t>’s garden feature?
75,pen,validate,"Frolic about, holding a <t>pen</t>"
76,Land,validate,"<t>Land</t> almost nothing, after a West Indian lands one"
77,Injurious,train,"<t>Injurious</t> commercial, very Irish"
86,Rev,train,"<t>Rev</t> Vicar’s first study, say"
87,Bullet,test,<t>Bullet</t> hit pest
88,Intrepid,train,<t>Intrepid</t> daughter missing parent's sister
91,Plant,test,<t>Plant</t> serving sauce with meat
92,Clothing,test,<t>Clothing</t> submerged in northern river?
93,without doubt,test,"Popular act, <t>without doubt</t>"
94,Position,train,<t>Position</t> of rubbish in South America
95,Element,train,<t>Element</t> Mendeleev originally found in flowering plant
